Возраст	Пол	Состоит в браке	Иждивенцы	Доход	Опыт работы	Срок проживания	Недвижимость	Месячный платеж	Благонадежный заемщик
28	женский	Да	0.0	9000.0	9.0	7.0	0.0	3946.0	Нет
39	мужской	Да	1.0	13500.0	17.0	6.0	0.0	2460.0	Да
31	мужской	Нет	2.0	7000.0	11.0	3.0	0.0	3126.0	Нет
34	мужской	Нет	1.0	10200.0	15.0	2.0	41.0	3280.0	Да
46	женский	Да	2.0	8500.0	20.0	8.0	0.0	3348.0	Да
30	женский	Да	2.0	9500.0	12.0	30.0	35.0	4612.0	Нет
47	мужской	Нет	2.0	7900.0	14.5	6.0	67.0	2870.0	Нет
33	мужской	Нет	2.0	12600.0	15.0	23.0	0.0	2050.0	Да
22	мужской	Нет	0.0	34000.0	4.0	19.0	33.0	2562.0	Да
30	мужской	Да	1.0	33000.0	10.0	8.0	0.0	1948.0	Да
26	мужской	Да	1.0	13500.0	8.0	2.0	31.0	5535.0	Да
48	мужской	Нет	2.0	24000.0	22.0	40.0	40.0	1845.0	Да
37	мужской	Да	1.0	12500.0	15.5	6.0	18.0	2409.0	Да
27	мужской	Да	1.0	4000.0	9.0	6.0	0.0	4305.0	Нет
55	мужской	Да	1.0	5500.0	11.5	35.0	28.0	3382.0	Нет
39	женский	Нет	1.0	8000.0	6.0	8.0	0.0	4818.0	Нет
29	мужской	Да	1.0	11000.0	11.0	29.0	38.0	5228.0	Да
36	мужской	Нет	1.0	11600.0	18.0	13.0	0.0	4373.0	Да
32	мужской	Да	1.0	8500.0	14.0	28.0	0.0	2101.0	Да
35	женский	Нет	0.0	4500.0	16.0	33.0	0.0	1913.0	Нет
46	мужской	Да	1.0	9000.0	16.0	28.0	0.0	718.0	Да
22	мужской	Да	1.0	4000.0	3.0	20.0	21.0	6252.0	Нет
37	мужской	Да	2.0	29000.0	12.0	6.0	0.0	4612.0	Да
56	женский	Да	0.0	29000.0	19.0	36.0	34.0	4237.0	Да
34	мужской	Нет	1.0	26000.0	16.0	5.0	40.0	6662.0	Да
40	мужской	Нет	2.0	10500.0	20.5	2.0	25.0	3895.0	Нет
33	мужской	Нет	1.0	10700.0	15.0	3.0	24.0	4612.0	Нет
37	мужской	Да	2.0	35000.0	17.5	31.0	0.0	3485.0	Да
24	мужской	Да	0.0	11500.0	6.0	8.0	0.0	2972.0	Да
30	мужской	Да	2.0	15500.0	6.0	6.0	20.0	1435.0	Да
32	мужской	Нет	1.0	11300.0	14.0	28.0	0.0	6560.0	Нет
25	мужской	Нет	2.0	12500.0	7.0	17.0	0.0	1948.0	Да
37	мужской	Нет	0.0	18200.0	17.5	36.0	0.0	3382.0	Да
33	женский	Нет	2.0	16500.0	15.0	3.0	0.0	3895.0	Да
24	мужской	Да	1.0	12500.0	6.0	14.0	0.0	2101.0	Да
